iter	Logloss
0	0.6431229917
1	0.598393402
2	0.5578620817
3	0.5214613591
4	0.4893326421
5	0.4607847607
6	0.4353028935
7	0.4127179661
8	0.3917499004
9	0.3739249301
10	0.3572761465
11	0.3406898682
12	0.326594222
13	0.3132994446
14	0.3009691752
15	0.2889440504
16	0.2789185549
17	0.2703740266
18	0.2625047238
19	0.2532817419
20	0.2453494074
21	0.2386588885
22	0.2318914094
23	0.2256185298
24	0.2200725553
25	0.2151524973
26	0.2112101323
27	0.2075078071
28	0.20366091
29	0.200603073
30	0.1980513619
31	0.1954065967
32	0.1932219791
33	0.1913685063
34	0.1893205993
35	0.1872550487
36	0.1853007612
37	0.1834415654
38	0.1817680579
39	0.1803158558
40	0.1790559347
41	0.1779508397
42	0.1767782161
43	0.1758465479
44	0.1748027593
45	0.1737337855
46	0.1726603043
47	0.1717521922
48	0.1709593382
49	0.1701185693
50	0.1693425412
51	0.1685673248
52	0.1680066997
53	0.1673802964
54	0.1667890371
55	0.1663205043
56	0.1658068374
57	0.1653619107
58	0.1649568382
59	0.1643773749
60	0.1637700634
61	0.1631929582
62	0.1626254334
63	0.1621563557
64	0.1616600628
65	0.1611924181
66	0.1608601226
67	0.1604730268
68	0.1601759532
69	0.1598538305
70	0.1595755084
71	0.1593187353
72	0.1590642653
73	0.1588194237
74	0.1585355933
75	0.1582041094
76	0.1580372947
77	0.1577803621
78	0.1575826347
79	0.1574411766
80	0.1572529598
81	0.1571194726
82	0.1569767006
83	0.1568578566
84	0.1567422882
85	0.1565482258
86	0.1563624157
87	0.1561855001
88	0.155942781
89	0.1557627935
90	0.1556186533
91	0.1554291489
92	0.1552488002
93	0.1550783619
94	0.1549223122
95	0.1548233986
96	0.1546706867
97	0.1545601859
98	0.1544902172
99	0.1544165015
100	0.1543277381
101	0.1542361447
102	0.1540968843
103	0.1539388492
104	0.153868048
105	0.1537263876
106	0.1536577435
107	0.1535704688
108	0.1534927705
109	0.1534117947
110	0.1533834988
111	0.1533140737
112	0.153026135
113	0.1527351754
114	0.1526267656
115	0.1525759295
116	0.1523480212
117	0.1522990309
118	0.152133124
119	0.1521250822
120	0.1519259376
121	0.1517533407
122	0.1516946186
123	0.1516642025
124	0.1514635479
125	0.1513020254
126	0.1511272356
127	0.1510322572
128	0.1509584752
129	0.1508027802
130	0.1506702019
131	0.1505104548
132	0.1503928962
133	0.1503050745
134	0.1502512352
135	0.1500900524
136	0.1500461428
137	0.1499256835
138	0.1498846386
139	0.149780033
140	0.1496877641
141	0.1496623029
142	0.1496332161
143	0.1496007798
144	0.149563148
145	0.1495418066
146	0.1494789491
147	0.1494284335
148	0.149341856
149	0.1493237715
150	0.1492531052
151	0.1491947494
152	0.149107253
153	0.1490579004
154	0.1490143114
155	0.1489371352
